mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
1,1650,12,rsq,standard,0.563540279767043,5,0.018097412775786494,pre0_mod060_post0,Zero_Flow_Days_sum,National
1,1650,15,mae,standard,51.34661435375894,5,0.30458648728328647,pre0_mod061_post0,Zero_Flow_Days_sum,National
1,1650,15,rmse,standard,70.14453686324822,5,0.7197801846091942,pre0_mod061_post0,Zero_Flow_Days_sum,National
1,1650,15,rsq,standard,0.559188817200325,5,0.018158687135628387,pre0_mod061_post0,Zero_Flow_Days_sum,National
1,1650,18,mae,standard,51.902580730209834,5,0.3177516906797902,pre0_mod062_post0,Zero_Flow_Days_sum,National
1,1650,18,rmse,standard,70.66894008530129,5,0.7526958542628915,pre0_mod062_post0,Zero_Flow_Days_sum,National
1,1650,18,rsq,standard,0.5537029202543334,5,0.01861286362711375,pre0_mod062_post0,Zero_Flow_Days_sum,National
1,1650,21,mae,standard,52.35051164881752,5,0.32378791955382763,pre0_mod063_post0,Zero_Flow_Days_sum,National
1,1650,21,rmse,standard,71.05496298766464,5,0.7648497216275942,pre0_mod063_post0,Zero_Flow_Days_sum,National
1,1650,21,rsq,standard,0.550365410732629,5,0.01876004244231059,pre0_mod063_post0,Zero_Flow_Days_sum,National
1,1650,25,mae,standard,52.98691068548215,5,0.2945691674407252,pre0_mod064_post0,Zero_Flow_Days_sum,National
1,1650,25,rmse,standard,71.6452580875421,5,0.7257028110960493,pre0_mod064_post0,Zero_Flow_Days_sum,National
1,1650,25,rsq,standard,0.5436996404926041,5,0.018583485869554297,pre0_mod064_post0,Zero_Flow_Days_sum,National
2,250,3,mae,standard,47.05748743911687,5,0.3255867710666003,pre0_mod065_post0,Zero_Flow_Days_sum,National
2,250,3,rmse,standard,66.61251881530714,5,0.6897760496123796,pre0_mod065_post0,Zero_Flow_Days_sum,National
2,250,3,rsq,standard,0.5893490867451885,5,0.01698968759754701,pre0_mod065_post0,Zero_Flow_Days_sum,National
2,250,6,mae,standard,47.5089756769567,5,0.40342397890376003,pre0_mod066_post0,Zero_Flow_Days_sum,National
2,250,6,rmse,standard,66.89230562224003,5,0.7997993091745365,pre0_mod066_post0,Zero_Flow_Days_sum,National
2,250,6,rsq,standard,0.587253408678465,5,0.018333522767109717,pre0_mod066_post0,Zero_Flow_Days_sum,National
