mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
2,250,15,rmse,standard,0.15549357337487865,5,0.006482250216319876,pre0_mod069_post0,tau_Zero_Flow_Days_sum
2,250,15,rsq,standard,0.13895858318172996,5,0.049674035050355315,pre0_mod069_post0,tau_Zero_Flow_Days_sum
2,250,18,mae,standard,0.11544727488588902,5,0.005123692060639514,pre0_mod070_post0,tau_Zero_Flow_Days_sum
2,250,18,rmse,standard,0.15462328336381204,5,0.006804985919057647,pre0_mod070_post0,tau_Zero_Flow_Days_sum
2,250,18,rsq,standard,0.1510685709382657,5,0.04896989636387294,pre0_mod070_post0,tau_Zero_Flow_Days_sum
2,250,21,mae,standard,0.11659744597494992,5,0.004947913396638465,pre0_mod071_post0,tau_Zero_Flow_Days_sum
2,250,21,rmse,standard,0.15546017148542926,5,0.006342012096403592,pre0_mod071_post0,tau_Zero_Flow_Days_sum
2,250,21,rsq,standard,0.14179032586632953,5,0.05147718460029008,pre0_mod071_post0,tau_Zero_Flow_Days_sum
2,250,25,mae,standard,0.11731313520734436,5,0.004218037837727818,pre0_mod072_post0,tau_Zero_Flow_Days_sum
2,250,25,rmse,standard,0.15592017035690955,5,0.0059140014912715,pre0_mod072_post0,tau_Zero_Flow_Days_sum
2,250,25,rsq,standard,0.13878150009219778,5,0.052374293272928016,pre0_mod072_post0,tau_Zero_Flow_Days_sum
2,450,3,mae,standard,0.1164645110240473,5,0.004599661431839526,pre0_mod073_post0,tau_Zero_Flow_Days_sum
2,450,3,rmse,standard,0.1557442647672897,5,0.00577335361883923,pre0_mod073_post0,tau_Zero_Flow_Days_sum
2,450,3,rsq,standard,0.13711653166616297,5,0.049632535000770535,pre0_mod073_post0,tau_Zero_Flow_Days_sum
2,450,6,mae,standard,0.11582921100281512,5,0.0051813407642979144,pre0_mod074_post0,tau_Zero_Flow_Days_sum
2,450,6,rmse,standard,0.1555947822789027,5,0.00605198240699547,pre0_mod074_post0,tau_Zero_Flow_Days_sum
2,450,6,rsq,standard,0.13679935084758074,5,0.047135396941074,pre0_mod074_post0,tau_Zero_Flow_Days_sum
2,450,9,mae,standard,0.11607397252489131,5,0.0045266468760472136,pre0_mod075_post0,tau_Zero_Flow_Days_sum
2,450,9,rmse,standard,0.15537899405780561,5,0.005757474119326506,pre0_mod075_post0,tau_Zero_Flow_Days_sum
2,450,9,rsq,standard,0.13699696480328205,5,0.046141631917850146,pre0_mod075_post0,tau_Zero_Flow_Days_sum
